414	DIB|항공코드	모한바리 공항					모한바리 
415	MZU|항공코드	무자파르푸르 공항					무자파르푸르 
416	MYQ|항공코드	마이소르 공항					마이소르 
417	BKN|항공코드	날 공군기지					날 공군기지
418	NDC|항공코드	난데드 공항					난데드 
419	CCU|항공코드	네타지 쉽하스 챤드라 공항					네타지 쉽하스 챤드라 
420	NVY|항공코드	니벨리 공항					니벨리 
421	PGH|항공코드	판트니가르 공항					판트니가르 
422	IXT|항공코드	파씨갓 공항					파씨갓 
423	IXP|항공코드	패단콧 공군기지					패단콧 공군기지
424	CJB|항공코드	필라메두 공항					필라메두 
425	PNY|항공코드	퐁디셰리 공항					퐁디셰리 
426	PBD|항공코드	포르반다르 공항					포르반다르 
427	PUT|항공코드	푸타파티 공항					푸타파티 
428	RPR|항공코드	라이푸르 공항					라이푸르 
429	ATQ|항공코드	라자 산시 공항					라자 산시 
430	RJA|항공코드	라자문드리 공항					라자문드리 
431	RAJ|항공코드	라지코트 시빌 공항					라지코트 시빌 
432	RTC|항공코드	라트나지리 공항					라트나지리 
433	RRK|항공코드	루켈라 공항					루켈라 
434	JRH|항공코드	로우리앗 공항					로우리앗 
435	BHJ|항공코드	룬드라 마타 공항					룬드라 마타 
436	LUH|항공코드	사네왈 공항					사네왈 
437	SXV|항공코드	세일럼 공항					세일럼 
438	IXG|항공코드	삼브르 공항					삼브르 
439	JAI|항공코드	상그니어 공항					상그니어 
440	AMD|항공코드	사다르 발랍하이 파텔 국제공항 	아메다바드				사다르 발랍하이 파텔 
441	TNI|항공코드	사트나 공항					사트나 
442	IXJ|항공코드	사트와리 공항					사트와리 
443	SHL|항공코드	실롱 공항					실롱 
444	SLV|항공코드	심라 공항					심라 
445	SSE|항공코드	솔라푸르 공항					솔라푸르 
446	IXA|항공코드	싱거힐 공항					싱거힐 
447	IXW|항공코드	소나리 공항					소나리 
448	NAG|항공코드	암베드카 국제공항 	소네가온				암베드카 
449	PUT|항공코드	스리 사티야 사이 공항					스리 사티야 사이 
450	SXR|항공코드	스리나가르 공군기지					스리나가르 공군기지
451	STV|항공코드	수라트 공항					수라트 
452	TJV|항공코드	탄조레 공군기지					탄조레 공군기지
453	TEZ|항공코드	테즈퍼 공항 	살로니바리				테즈퍼 
454	TRV|항공코드	트리반드럼 국제공항					트리반드럼 
455	TRZ|항공코드	티룬치라팔리 시빌 공항					티룬치라팔리 시빌 
456	TIR|항공코드	티루파티 공항					티루파티 
457	AJL|항공코드	투리알 공군기지					투리알 공군기지
458	UDR|항공코드	마하나라 프라탑 공항 	우디퍼				마하나라 프라탑 
459	BDQ|항공코드	바도다라 공항 	바도다라 공군기지				바도다라 
460	VNS|항공코드	라이 바하두르 샤스트리 공항 	바라나시				라이 바하두르 샤스트리 
461	VGA|항공코드	비쟈와와다 공항					비쟈와와다 
462	IXZ|항공코드	버 사바카르 	포트블레어				버 사바카르 
463	VTZ|항공코드	비샤카파트남 공항					비샤카파트남 
464	WGC|항공코드	와랑갈 공항					와랑갈 
465	YLK|항공코드	얄라행카 공군기지					얄라행카 공군기지
466	ZER|항공코드	제로 공항					제로 
467	BLR|항공코드	벵갈루루 국제공항					벵갈루루 
468	MLG|항공코드	압둘 라흐만 살레 공항					압둘 라흐만 살레 
469	RSK|항공코드	아브레소 공항					아브레소 
470	SRG|항공코드	아츠마드 야니 공항					아츠마드 야니 
471	SOC|항공코드	아디 수마르모 국제공항					아디 수마르모 
472	JOG|항공코드	아디숫집토 공항					아디숫집토 
473	AEG|항공코드	아엑 고당 공항					아엑 고당 
474	AHI|항공코드	아마하이 공항					아마하이 
475	MXB|항공코드	안디 제마 공항					안디 제마 
476	ARJ|항공코드	아르소 공항					아르소 
477	BXB|항공코드	바보 공항					바보 
478	TTE|항공코드	바둘라 공항					바둘라 
479	BXD|항공코드	베이드 공항					베이드 
480	BTW|항공코드	바투리신 공항					바투리신 
481	BUW|항공코드	베토암바리 공항					베토암바리 
482	GNS|항공코드	비나카 공항					비나카 
483	BTJ|항공코드	발랑 빈탕 공항					발랑 빈탕 
484	BUI|항공코드	보콘디니 공항					보콘디니 
485	BXT|항공코드	본탕 공항					본탕 
486	SWQ|항공코드	브랑 비드지 공항					브랑 비드지 
487	LUW|항공코드	부둥 공항					부둥 
488	TJQ|항공코드	부루툼방 공항					부루툼방 
489	BYQ|항공코드	분유 공항					분유 
490	TSY|항공코드	치베레움 공항					치베레움 
491	MEQ|항공코드	쿠니약디엔 공항					쿠니약디엔 
492	SIQ|항공코드	다보 공항					다보 
493	DOB|항공코드	도보 공항					도보 
494	LUV|항공코드	두마투빈 공항					두마투빈 
495	KOE|항공코드	엘타리 공항					엘타리 
496	EWI|항공코드	에나로타리 공항					에나로타리 
497	GLX|항공코드	감마르말라모 공항					감마르말라모 
498	LKA|항공코드	게와엔타나 공항					게와엔타나 
499	HLP|항공코드	하림 페다나 쿠수마 공항					하림 페다나 쿠수마 
500	ABU|항공코드	할리웬 공항					할리웬 
501	BTH|항공코드	행 다님 공항					행 다님 
502	SMQ|항공코드	하산 공항					하산 
503	UPG|항공코드	하사누딘 공항					하사누딘 
504	BDO|항공코드	후세인 사스트라네가라 공항					후세인 사스트라네가라 
505	ILA|항공코드	일라가 공항					일라가 
506	INX|항공코드	이난와탄 공항					이난와탄 
507	ENE|항공코드	이피 공항					이피 
